IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.48.28,4,1,0.75,226.94,0.00,N/A
104.19.183.92,4,1,0.75,227.08,0.00,N/A
172.65.176.185,4,1,0.75,227.21,0.00,N/A
104.20.28.225,4,1,0.75,227.33,0.00,N/A
104.27.46.210,4,1,0.75,227.38,0.00,N/A
104.25.76.56,4,1,0.75,227.39,0.00,N/A
172.65.80.45,4,1,0.75,227.69,0.00,N/A
172.67.96.173,4,1,0.75,227.88,0.00,N/A
172.67.118.100,4,1,0.75,228.16,0.00,N/A
172.66.216.62,4,1,0.75,228.31,0.00,N/A
104.24.32.197,4,1,0.75,228.82,0.00,N/A
104.16.162.162,4,1,0.75,229.01,0.00,N/A
104.16.91.210,4,1,0.75,229.04,0.00,N/A
104.25.29.232,4,1,0.75,229.07,0.00,N/A
172.67.98.194,4,1,0.75,229.17,0.00,N/A
104.16.149.59,4,1,0.75,229.48,0.00,N/A
104.24.20.173,4,1,0.75,230.03,0.00,N/A
104.27.22.82,4,1,0.75,230.39,0.00,N/A
104.26.5.121,4,1,0.75,230.57,0.00,N/A
172.65.68.29,4,1,0.75,230.76,0.00,N/A
104.25.120.242,4,1,0.75,231.07,0.00,N/A
104.24.77.146,4,1,0.75,231.15,0.00,N/A
104.21.124.76,4,1,0.75,231.41,0.00,N/A
104.16.94.220,4,1,0.75,231.46,0.00,N/A
172.65.169.156,4,1,0.75,231.64,0.00,N/A
172.65.186.215,4,1,0.75,232.50,0.00,N/A
172.65.114.11,4,1,0.75,232.86,0.00,N/A
104.21.11.13,4,1,0.75,233.09,0.00,N/A
172.67.91.105,4,1,0.75,233.16,0.00,N/A
104.20.40.80,4,1,0.75,233.25,0.00,N/A
104.25.18.248,4,1,0.75,233.37,0.00,N/A
104.18.157.220,4,1,0.75,233.37,0.00,N/A
104.24.25.6,4,1,0.75,233.67,0.00,N/A
104.25.21.19,4,1,0.75,235.40,0.00,N/A
104.20.58.142,4,1,0.75,236.80,0.00,N/A
172.65.121.168,4,1,0.75,238.66,0.00,N/A
104.26.7.219,4,1,0.75,238.76,0.00,N/A
104.24.60.145,4,1,0.75,239.08,0.00,N/A
172.65.67.51,4,1,0.75,243.09,0.00,N/A
104.16.140.194,4,1,0.75,244.08,0.00,N/A
104.16.32.86,4,1,0.75,244.29,0.00,N/A
162.159.137.146,4,1,0.75,244.95,0.00,N/A
172.65.96.194,4,1,0.75,246.91,0.00,N/A
172.67.112.172,4,1,0.75,246.97,0.00,N/A
